https://www.jarednelsen.dev/posts/The-horrifically-dystopian-world-of-software-engineering-interviews,The Horrifically Dystopian World of Software Engineering Interviews,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://amzn.com/0321934113/?tag=kevideld-20,Peopleware: Productive Projects and Teams, 1987, page 34,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=17022563,Things to look for when hiring remote workers,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://amzn.com/0262014866/?tag=kevideld-20,Living with Complexity, by Donald A. Norman,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=11341567,What makes a Senior Dev,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://reeve.blog/blog/principles/,Principles for Great Product Managers,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://news.ycombinator.com/item?id=23861960,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=19755001,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20571219,questions that were highly correlated to company success,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=22285123,“Company I've worked for had manager who tried to ship features over the weekend with a ragtag team of developers who don't understand why that's a bad idea.”,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=17492038,Google's usage of OKRs,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20326074,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=22386728,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=6199544,Some tips on public speaking,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=24627229,The different engineering levels at Google,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21972033,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21767843,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=18823616,Going from Developer to Manager. What should I know or learn?,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=7179946,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=8902739,There's a third direction you can go, I call it going deep.,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
