http://www.d4d.orange.com/en/home,D4D Challenge of Orange,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://datar.noip.me/,Argentina (non official),https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://portal0.cf.opendata.inter.sandbox-toronto.ca/,Toronto, ON, Canada,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://hubwaydatachallenge.org/trip-history-data/,Hubway Million Rides in MA,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://www.icpsr.umich.edu/icpsrweb/ICPSR/index.jsp,ICPSR (UMICH),https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://data.stad.gent/data,Ghent, Belgium,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://data.vancouver.ca/datacatalogue/,Vancouver, BC Open Data Catalog,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://donnees.ville.quebec.qc.ca/,Quebec City, QC, Canada,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://www.1000genomes.org/data,1000 Genomes - The 1000 Genomes Project ran between 2008 and 2015, [...],https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://data.crowdanalytix.com,CrowdANALYTIX dataX,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://www.washingtonpost.com/wp-srv/metro/data/datapost.html,The Washington Post List,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: timeout('timed out') | reason: 
http://ucdata.berkeley.edu/,UCB's Archive of Social Science Data (D-Lab),https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://www.data.gov.tn/,Tunisia,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: timeout('timed out') | reason: 
http://www.data.rio/,Rio de Janeiro, Brazil,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.nlm.nih.gov/mesh/filelist.html,MeSH, the vocabulary thesaurus used for indexing articles for PubMed,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: timeout('The read operation timed out') | reason: 
http://www.opendatanetwork.com/,OpenDataNetwork - A search engine of all Socrata powered data portals,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: timeout('timed out') | reason: 
